"","word","n"
"1","the end of the",770
"2","the rest of the",727
"3","at the end of",623
"4","for the first time",622
"5","thanks for the follow",622
"6","at the same time",523
"7","is going to be",447
"8","is one of the",441
"9","one of the most",410
"10","when it comes to",407
"11","going to be a",404
"12","in the middle of",383
"13","to be able to",337
"14","thank you for the",336
"15","if you want to",335
"16","thanks for the rt",329
"17","one of the best",311
"18","can't wait to see",306
"19","in the united states",290
"20","thank you so much",258
"21","by the end of",245
"22","i don't want to",240
"23","it's going to be",234
"24","i am going to",232
"25","the middle of the",229
"26","for the rest of",223
"27","the top of the",223
"28","i would like to",217
"29","on the other hand",217
"30","i was going to",209
"31","as well as the",205
"32","i wish i could",204
"33","a lot of people",198
"34","to go to the",196
"35","at the university of",195
"36","a member of the",194
"37","was one of the",193
"38","said in a statement",192
"39","will be able to",185
"40","have a lot of",183
"41","one of my favorite",183
"42","a bit of a",182
"43","the first time in",180
"44","the bottom of the",179
"45","have a great day",178
"46","i can't wait to",177
"47","in front of the",175
"48","i would love to",173
"49","i was able to",172
"50","going to have to",171
"51","are you going to",169
"52","the back of the",168
"53","i want to be",167
"54","was going to be",163
"55","what do you think",163
"56","a little bit of",162
"57","i have to say",162
"58","nothing to do with",160
"59","for a long time",159
"60","i thought it was",158
"61","as much as i",156
"62","in the first place",154
"63","as part of the",153
"64","i just want to",152
"65","hope to see you",150
"66","i feel like i",150
"67","on my way to",148
"68","there are so many",147
"69","a few years ago",143
"70","as a result of",142
"71","have a great weekend",141
"72","as well as a",139
"73","had a great time",139
"74","let me know if",137
"75","most of the time",136
"76","we are going to",136
"77","i look forward to",135
"78","on the other side",135
"79","a lot of the",132
"80","hope you have a",131
"81","to be in the",131
"82","i have no idea",129
"83","it would be a",129
"84","to do with the",129
"85","are going to be",128
"86","do you have a",126
"87","i don't know what",126
"88","thanks for the mention",126
"89","thanks so much for",126
"90","if you have a",125
"91","in the midst of",125
"92","end of the day",124
"93","looking forward to the",124
"94","you don't have to",124
"95","on the way to",123
"96","turned out to be",123
"97","this is one of",122
"98","at the top of",120
"99","to get out of",120
"100","as one of the",119
"101","be a part of",118
"102","a lot of time",117
"103","for the most part",117
"104","the other side of",117
"105","i wish i had",116
"106","to go back to",116
"107","had a lot of",113
"108","what are you doing",113
"109","as soon as i",112
"110","when i was a",112
"111","a great way to",111
"112","for those of you",110
"113","i need to get",110
"114","thanks for the ff",110
"115","the first time i",110
"116","for the shout out",109
"117","there will be a",109
"118","the beginning of the",108
"119","the best way to",108
"120","at a time when",107
"121","i don't know how",107
"122","a lot of fun",106
"123","i'm not going to",106
"124","in front of me",106
"125","in the first half",106
"126","that awkward moment when",105
"127","is one of my",104
"128","are a lot of",103
"129","trying to figure out",103
"130","at the time of",102
"131","in the second half",102
"132","the fact that the",102
"133","a couple of weeks",101
"134","one of the first",101
"135","thank you for your",101
"136","to be on the",101
"137","you so much for",101
"138","in the form of",100
"139","thanks for the shout",100
"140","there are a lot",100
"141","i don't know if",99
"142","the new york times",99
"143","to be part of",99
"144","the name of the",98
"145","at the beginning of",97
"146","in one of the",97
"147","on top of the",97
"148","to get rid of",97
"149","wait to see you",97
"150","want to go to",97
"151","i had no idea",96
"152","in the case of",96
"153","in the first round",96
"154","in the process of",96
"155","this is the first",96
"156","hope all is well",95
"157","can't wait for the",94
"158","to get back to",94
"159","a few weeks ago",93
"160","a part of the",93
"161","executive director of the",93
"162","it was a great",93
"163","so much for the",93
"164","the first time since",93
"165","the start of the",93
"166","to come up with",93
"167","to take care of",93
"168","you are going to",93
"169","you have to do",93
"170","one of the few",92
"171","to get to the",92
"172","as part of a",91
"173","it would have been",91
"174","the first day of",91
"175","the side of the",91
"176","this is going to",91
"177","those of you who",91
"178","you have to be",91
"179","contributed to this report",90
"180","find a way to",90
"181","in a long time",90
"182","the rest of us",90
"183","be one of the",89
"184","i just wanted to",89
"185","in the way of",89
"186","looking forward to seeing",89
"187","other side of the",89
"188","take a look at",89
"189","in a way that",88
"190","in addition to the",88
"191","in and out of",88
"192","me know if you",88
"193","the only thing that",88
"194","and the rest of",87
"195","did you know that",87
"196","for a couple of",87
"197","i really want to",87
"198","in the first quarter",87
"199","in the history of",87
"200","in the name of",87
"201","know what to do",87
"202","looking forward to it",87
"203","some of the best",87
"204","to make sure that",87
"205","end of the year",86
"206","would love to see",86
"207","all over the world",85
"208","i can't wait for",85
"209","it will be a",85
"210","the only way to",85
"211","this is not a",85
"212","thought it would be",85
"213","to be a part",85
"214","a chance to win",84
"215","i don't have to",84
"216","in the back of",84
"217","in the fourth quarter",84
"218","would you like to",84
"219","you have a great",84
"220","and one of the",83
"221","do you want to",83
