"","word","n"
"1","one of the",3445
"2","a lot of",2960
"3","thanks for the",2408
"4","to be a",1934
"5","going to be",1768
"6","out of the",1514
"7","the end of",1502
"8","i want to",1491
"9","as well as",1452
"10","it was a",1418
"11","some of the",1408
"12","be able to",1301
"13","i have a",1272
"14","part of the",1235
"15","the rest of",1174
"16","i have to",1156
"17","looking forward to",1106
"18","thank you for",1066
"19","the first time",1035
"20","is going to",1009
"21","a couple of",989
"22","i need to",972
"23","end of the",965
"24","i love you",944
"25","this is a",934
"26","you have to",913
"27","there is a",908
"28","you want to",907
"29","to go to",901
"30","the fact that",868
"31","it would be",865
"32","it is a",852
"33","in the world",842
"34","this is the",833
"35","at the end",829
"36","i don't know",816
"37","for the first",812
"38","there is no",806
"39","is one of",805
"40","most of the",804
"41","in the first",800
"42","one of my",798
"43","i'm going to",797
"44","can't wait to",796
"45","you have a",789
"46","all of the",768
"47","for the follow",764
"48","to have a",760
"49","according to the",755
"50","rest of the",744
"51","the united states",741
"52","to be the",737
"53","i think i",727
"54","in front of",717
"55","of the year",716
"56","i had a",713
"57","if you are",709
"58","i had to",689
"59","to make a",686
"60","of the day",673
"61","in order to",666
"62","i have been",663
"63","back to the",657
"64","have a great",656
"65","to see the",651
"66","i feel like",650
"67","when i was",644
"68","it will be",636
"69","to do with",636
"70","want to be",630
"71","to get a",629
"72","i wanted to",626
"73","one of those",621
"74","as much as",619
"75","at the time",609
"76","at the same",605
"77","i will be",592
"78","was going to",587
"79","the same time",586
"80","if you want",581
"81","in the past",580
"82","have to be",578
"83","if you have",576
"84","there was a",574
"85","are going to",573
"86","to see you",570
"87","let me know",568
"88","of the most",562
"89","not going to",560
"90","in the middle",556
"91","you need to",555
"92","all the time",554
"93","i wish i",553
"94","i am not",551
"95","we need to",550
"96","it was the",543
"97","would like to",543
"98","as long as",542
"99","because of the",530
"100","go to the",528
"101","will be a",528
"102","a bit of",526
"103","to make it",526
"104","and it was",519
"105","i don't think",519
"106","a little bit",516
"107","to be in",506
"108","to make the",498
"109","we have a",493
"110","don't want to",491
"111","need to be",491
"112","would love to",490
"113","more than a",489
"114","to get the",488
"115","a chance to",487
"116","in the morning",487
"117","of the best",475
"118","is not a",472
"119","would be a",472
"120","we have to",467
"121","the middle of",465
"122","side of the",464
"123","what do you",463
"124","it is the",462
"125","i know i",458
"126","the number of",458
"127","and i have",454
"128","so i can",454
"129","would have been",454
"130","a long time",449
"131","to do it",448
"132","when it comes",448
"133","in the same",447
"134","i love the",446
"135","up in the",446
"136","on the other",442
"137","the university of",441
"138","that would be",440
"139","there will be",437
"140","of the world",435
"141","it is not",434
"142","to take a",433
"143","up to the",433
"144","was one of",429
"145","but it was",428
"146","that it was",428
"147","and i am",425
"148","i was a",424
"149","do you have",422
"150","for the rt",420
"151","in new york",419
"152","it comes to",419
"153","that i have",415
"154","i am so",413
"155","do you think",409
"156","is the best",408
"157","as soon as",407
"158","as part of",405
"159","i am a",405
"160","wait to see",405
"161","look at the",404
"162","in the last",403
"163","look forward to",402
"164","said in a",402
"165","a part of",398
"166","at a time",396
"167","a number of",394
"168","has been a",394
"169","for a while",393
"170","in my life",393
"171","to make sure",390
"172","i hope you",388
"173","a great day",384
"174","how do you",384
"175","i decided to",384
"176","and i was",382
"177","that i am",382
"178","i can't wait",381
"179","is in the",380
"180","can't wait for",379
"181","i think the",377
"182","i have no",374
"183","i would have",374
"184","looking for a",374
"185","i was in",373
"186","all over the",372
"187","for a few",371
"188","had a great",371
"189","was able to",369
"190","will have to",369
"191","and it is",368
"192","have to do",368
"193","for me to",367
"194","you for the",366
"195","a way to",365
"196","i don't have",364
"197","i think it",364
"198","in the end",364
"199","i went to",363
"200","that it is",363
"201","he said the",362
"202","if you don't",362
"203","seems to be",362
"204","the top of",362
"205","it has been",360
"206","what to do",360
"207","thanks for following",358
"208","but it is",357
"209","i used to",356
"210","on the way",353
"211","will be the",353
"212","top of the",350
"213","i need a",349
"214","a bunch of",348
"215","many of the",348
"216","you so much",348
"217","percent of the",347
"218","the back of",347
"219","back in the",346
"220","for the next",346
"221","in addition to",346
"222","what are you",346
"223","need to get",345
"224","be in the",343
"225","but i think",343
"226","the new york",343
"227","we had a",342
"228","to be able",341
"229","a few days",340
"230","that i was",340
"231","this is not",340
"232","to get to",339
"233","a series of",338
"234","in the second",338
"235","of the season",338
"236","part of a",338
"237","there was no",338
"238","to say that",338
"239","i don't want",337
"240","is a great",337
"241","all the way",336
"242","so much for",336
"243","the idea of",333
"244","he was a",332
"245","the only one",332
"246","check it out",331
"247","going to have",331
"248","and i think",330
"249","how are you",330
"250","he said he",329
"251","it's going to",329
"252","in love with",328
"253","know how to",327
"254","member of the",327
"255","trying to get",327
"256","at this point",326
"257","needs to be",326
"258","was in the",326
"259","wish i could",326
"260","that he was",325
"261","i know that",323
"262","in the city",321
"263","as a result",319
"264","of the new",319
"265","a little more",318
"266","i love it",318
"267","in the u.s",318
"268","you know what",318
"269","we want to",317
"270","said he was",315
"271","be sure to",314
"272","away from the",313
"273","have a good",312
"274","it to the",312
"275","going to the",311
"276","i do not",311
"277","of my life",310
"278","supposed to be",310
"279","you can see",310
"280","a member of",309
"281","in the united",307
"282","but i have",306
"283","has to be",306
"284","on top of",306
"285","the kind of",306
"286","i think that",304
"287","we will be",304
"288","a few years",303
"289","for all the",303
"290","to talk about",302
"291","members of the",301
"292","of the first",300
"293","if you can",299
"294","a pair of",298
"295","to find out",298
"296","i like to",297
"297","one of them",297
"298","to see what",297
"299","director of the",296
"300","to see if",296
"301","the only thing",295
"302","was the first",295
"303","as far as",294
"304","go back to",294
"305","i don’t know",294
"306","is a good",294
"307","going to get",293
"308","thanks so much",293
"309","the way to",293
"310","don't have to",292
"311","is expected to",292
"312","to talk to",292
"313","want to see",292
"314","you are a",291
"315","and in the",290
"316","and of course",290
"317","of the time",290
"318","a group of",289
"319","in a statement",289
"320","much of the",288
"321","the beginning of",287
"322","to look at",287
"323","when he was",287
"324","be a good",286
"325","the name of",286
"326","want to go",286
"327","a variety of",285
"328","i think it's",285
"329","and a half",284
"330","i miss you",284
"331","i got a",283
"332","in the country",283
"333","to find a",283
"334","it in the",282
"335","the bottom of",282
"336","by the way",281
"337","the time to",281
"338","the same thing",280
"339","no matter what",279
"340","of my favorite",279
"341","thank you so",279
"342","by the time",278
"343","i thought it",278
"344","let us know",278
"345","used to be",277
"346","i thought i",276
"347","in terms of",276
"348","in the next",276
"349","to deal with",276
"350","want to do",275
"351","do you know",273
"352","to do the",273
"353","would have to",273
"354","i would like",271
"355","it can be",271
"356","to all the",271
"357","to try to",271
"358","going to do",270
"359","is that the",270
"360","over the past",270
"361","said it was",270
"362","that is the",270
"363","no matter how",269
"364","to figure out",269
"365","out in the",268
"366","thought it was",268
"367","up on the",268
"368","president of the",267
"369","i am going",266
"370","of the game",266
"371","went to the",266
"372","a great time",265
"373","is on the",265
"374","but i am",264
"375","check out the",264
"376","is the only",264
"377","out of my",264
"378","that i can",264
"379","you don't have",264
"380","be on the",263
"381","take care of",263
"382","that there is",263
"383","and i will",262
"384","you can get",262
"385","is the most",261
"386","that was a",261
"387","get out of",260
"388","in the future",260
"389","according to a",259
"390","by the end",259
"391","have a lot",259
"392","over the years",259
"393","it should be",258
"394","on the road",258
"395","to do a",258
"396","come up with",257
"397","that they are",257
"398","any of the",256
"399","of all the",256
"400","i would be",255
"401","is not the",255
"402","i just want",254
"403","of the week",254
"404","that you can",254
"405","there are a",254
"406","to be on",254
"407","up with a",253
"408","i can do",252
"409","i love my",252
"410","have to say",251
"411","i was going",251
"412","in the house",251
"413","just want to",251
"414","the ability to",251
"415","based on the",250
"416","up with the",250
"417","around the world",249
"418","at the moment",249
"419","the best of",249
"420","will not be",249
"421","have been a",248
"422","i'm not sure",248
"423","that is a",248
"424","all of us",247
"425","for more than",247
"426","i like the",247
"427","a few weeks",245
"428","on the floor",245
"429","front of the",244
"430","i was just",244
"431","to keep the",244
"432","what kind of",244
"433","a year ago",243
"434","please follow me",243
"435","to get out",243
"436","are in the",242
"437","with all the",242
"438","the opportunity to",241
"439","that you are",240
"440","you will be",240
"441","middle of the",239
"442","am going to",238
"443","for you to",238
"444","out to be",238
"445","the city of",238
"446","to create a",238
"447","to get my",238
"448","you can do",238
"449","being able to",237
"450","more and more",237
"451","the use of",237
"452","to have to",237
"453","a lot more",236
"454","for a new",236
"455","for all of",236
"456","have to go",236
"457","had to be",235
"458","in the air",235
"459","to be an",235
"460","we're going to",235
"461","what it is",235
"462","for the rest",234
"463","i would love",234
"464","is the first",234
"465","shout out to",234
"466","they want to",234
"467","to get it",234
"468","it was so",233
"469","and this is",232
"470","don't know what",232
"471","it was just",232
"472","on my way",232
"473","i think we",231
"474","the people who",231
"475","time to get",231
"476","i love that",230
"477","may not be",230
"478","the cost of",230
"479","to take the",230
"480","you know that",230
"481","seem to be",229
"482","to work on",229
"483","a piece of",228
"484","but i don't",228
"485","in the third",228
"486","new york city",228
"487","the start of",228
"488","and if you",227
"489","have no idea",227
"490","that we are",227
"491","to work with",227
"492","been able to",226
"493","people in the",226
"494","the time i",226
"495","to do something",226
"496","i don't like",225
"497","in a few",225
"498","to get back",225
"499","will be in",225
"500","would be the",225
"501","in a row",224
"502","of course i",224
"503","the last time",224
"504","the most important",224
"505","the next day",224
"506","the other hand",224
"507","to see how",224
"508","every time i",223
"509","it looks like",223
"510","the other side",223
"511","as it is",222
"512","he is a",222
"513","this is what",222
"514","to have the",222
"515","a few minutes",221
